ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
129.250.150.jdd,2006-03-26,00:03:20,500.0,1022195.0,0000895126-05-000029,xslF345X02/edgardoc.xml,200.0,15567.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:04:39,500.0,1337360.0,0001181431-06-012882,xslF345X02/rrd108649.xml,200.0,42145.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:05:11,500.0,1254514.0,0001254514-03-000004,xslF345X02/primary_doc.xml,200.0,16042.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:11:29,500.0,1101913.0,0001101913-03-000001,xslF345X02/primary_doc.xml,200.0,21906.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:14:13,500.0,1333726.0,0001333726-05-000001,xslF345X02/edgar.xml,200.0,11767.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:14:56,500.0,1192655.0,0001192655-04-000024,xslF345X02/primary_doc.xml,200.0,17169.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:16:12,500.0,1165015.0,0001181431-04-060008,xslF345X02/rrd62020.xml,200.0,16565.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:17:32,500.0,1165015.0,0001181431-04-060008,xslF345X02/rrd62020.xml,200.0,16565.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:21:20,500.0,1254757.0,0001254757-03-000007,xslF345X02/edgar.xml,200.0,16126.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:23:21,500.0,1187851.0,0000939057-05-000005,xslF345X02/primary_doc.xml,200.0,15818.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:25:01,500.0,1263972.0,0001104659-05-029510,xslF345X02/a4.xml,200.0,24704.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:25:45,500.0,1282873.0,0001140361-04-001846,xslF345X02/doc1.xml,200.0,16929.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:31:26,500.0,1037317.0,0000769993-05-000461,xslF345X02/slh4050630gsg_ex.xml,200.0,41204.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:31:27,500.0,1018588.0,0000921895-04-000884,xslF345X02/wat71.xml,200.0,18095.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:32:20,500.0,1008357.0,0000935494-05-000034,xslF345X02/primary_doc.xml,200.0,18024.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:33:14,500.0,1189997.0,0001204888-05-000009,xslF345X02/edgar.xml,200.0,16605.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,00:35:01,500.0,1012163.0,0000700565-05-000203,xslF345X02/form4_sparks-091905ex.xml,200.0,22165.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,00:48:24,500.0,1051329.0,0001254046-04-000148,xslF345X02/mam361.xml,200.0,18468.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:01:57,500.0,1254391.0,0001254391-05-000015,xslF345X02/edgardoc.xml,200.0,16391.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:03:04,500.0,1031082.0,0001140437-04-000234,xslF345X02/hc40702_ex.xml,200.0,23765.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:04:23,500.0,1193473.0,0001181431-05-036198,xslF345X02/rrd82203.xml,200.0,16773.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,01:07:42,500.0,1289633.0,0000935066-05-000011,xslF345X02/primary_doc.xml,200.0,15755.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:10:29,500.0,946529.0,0000946529-06-000004,xslF345X02/primary_doc.xml,200.0,32880.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,01:13:41,500.0,1200154.0,0001200154-05-000009,xslF345X02/primary_doc.xml,200.0,16604.0,0.0,1.0,0.0,0.0,0.0,mie
129.250.150.jdd,2006-03-26,01:15:02,500.0,1211047.0,0001211047-03-000012,xslF345X01/edgar.xml,200.0,17237.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:18:22,500.0,1175940.0,0001094891-05-000428,xslF345X02/edgar.xml,200.0,16105.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,01:20:33,500.0,1228164.0,0001181431-04-003049,xslF345X02/rrd29286.xml,200.0,20626.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,01:21:11,500.0,1330088.0,0001209191-05-034261,xslF345X02/doc4.xml,200.0,16137.0,0.0,1.0,0.0,0.0,0.0,win
129.250.150.jdd,2006-03-26,01:24:50,500.0,1247099.0,0000703970-03-000026,xslF345X01/rew0603.xml,200.0,15143.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:27:26,500.0,1238820.0,0000892712-04-000425,xslF345X02/edgar.xml,200.0,18679.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:29:35,500.0,1187350.0,0001207007-03-000074,xslF345X01/edgar.xml,200.0,18937.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:34:14,500.0,1254391.0,0001254391-05-000016,xslF345X02/edgardoc.xml,200.0,15668.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:35:33,500.0,1319202.0,0001145443-05-001466,xslF345X02/d17325_ex.xml,200.0,14628.0,0.0,1.0,0.0,0.0,1.0,
129.250.150.jdd,2006-03-26,01:37:40,500.0,1238744.0,0001144204-06-008392,xslF345X02/v036886_ex.xml,200.0,15898.0,0.0,1.0,0.0,0.0,0.0,mie
129.250.150.jdd,2006-03-26,01:38:01,500.0,1284318.0,0001182489-05-000241,xslF345X02/edgar.xml,200.0,13401.0,0.0,1.0,0.0,0.0,1.0,
